,Time,Rettungsdienst,Brandbekämpfung,Technische Hilfeleistung
0,2022-02-24 09:01:00,299,11,17
1,2022-02-24 09:02:00,303,11,17
2,2022-02-24 09:03:00,304,11,17
3,2022-02-24 09:04:00,304,11,17
4,2022-02-24 09:05:00,305,11,17
5,2022-02-24 09:06:00,308,11,17
6,2022-02-24 09:07:00,308,11,17
7,2022-02-24 09:08:00,308,11,17
8,2022-02-24 09:09:00,308,11,17
9,2022-02-24 09:10:00,308,11,17
10,2022-02-24 09:20:00,326,11,17
11,2022-02-24 09:30:00,334,11,17
12,2022-02-24 09:31:00,334,11,17
13,2022-02-24 09:41:00,340,13,19
14,2022-02-24 09:56:00,365,15,21
15,2022-02-24 09:57:00,365,15,21
16,2022-02-24 09:58:00,369,15,21
17,2022-02-24 09:59:00,369,15,21
18,2022-02-24 10:00:00,369,15,21
19,2022-02-24 10:01:00,370,15,21
20,2022-02-24 10:11:00,380,15,21
