,Time,Brandbekämpfung,Technische Hilfeleistung,Rettungsdienst
0,2022-02-23 15:11:00,20,61,763
1,2022-02-23 15:12:00,20,61,765
2,2022-02-23 15:13:00,20,62,765
3,2022-02-23 15:14:00,20,62,765
4,2022-02-23 15:15:00,20,62,766
5,2022-02-23 15:16:00,21,62,766
6,2022-02-23 15:17:00,21,62,769
7,2022-02-23 15:18:00,21,62,771
8,2022-02-23 15:19:00,21,63,771
9,2022-02-23 15:20:00,21,63,771
10,2022-02-23 15:21:00,21,65,772
11,2022-02-23 15:22:00,21,65,772
12,2022-02-23 15:23:00,21,65,773
13,2022-02-23 15:24:00,21,65,773
14,2022-02-23 15:25:00,21,66,775
15,2022-02-23 15:26:00,21,66,776
16,2022-02-23 15:27:00,21,66,778
17,2022-02-23 15:28:00,21,66,779
18,2022-02-23 15:29:00,21,66,781
19,2022-02-23 15:30:00,21,66,782
20,2022-02-23 15:31:00,21,66,783
21,2022-02-23 15:32:00,21,66,784
22,2022-02-23 15:33:00,21,66,784
23,2022-02-23 15:34:00,21,66,788
24,2022-02-23 15:35:00,21,66,789
25,2022-02-23 15:36:00,21,67,789
26,2022-02-23 15:37:00,21,67,791
27,2022-02-23 15:38:00,21,67,791
28,2022-02-23 15:39:00,21,67,792
29,2022-02-23 15:40:00,21,67,794
30,2022-02-23 15:41:00,21,67,796
31,2022-02-23 15:42:00,21,67,796
32,2022-02-23 15:43:00,21,67,801
33,2022-02-23 15:44:00,21,67,803
34,2022-02-23 15:45:00,21,68,803
35,2022-02-23 15:46:00,21,68,804
36,2022-02-23 15:47:00,21,68,807
37,2022-02-23 15:48:00,21,68,807
38,2022-02-23 15:49:00,21,68,807
39,2022-02-23 15:50:00,21,68,808
40,2022-02-23 15:51:00,21,68,810
41,2022-02-23 15:52:00,21,68,811
42,2022-02-23 15:53:00,21,68,813
43,2022-02-23 15:54:00,21,69,815
44,2022-02-23 15:55:00,21,72,817
45,2022-02-23 15:56:00,21,72,818
46,2022-02-23 15:57:00,21,72,820
47,2022-02-23 15:58:00,21,72,822
48,2022-02-23 15:59:00,21,72,823
49,2022-02-23 16:00:00,21,72,824
50,2022-02-23 16:01:00,21,72,825
51,2022-02-23 16:02:00,21,72,828
52,2022-02-23 16:03:00,21,72,830
53,2022-02-23 16:04:00,21,72,830
54,2022-02-23 16:05:00,21,72,832
55,2022-02-23 16:06:00,21,72,832
56,2022-02-23 16:07:00,21,72,833
57,2022-02-23 16:08:00,21,72,834
58,2022-02-23 16:09:00,21,73,834
59,2022-02-23 16:10:00,21,73,835
60,2022-02-23 16:11:00,21,73,836
61,2022-02-23 16:12:00,21,73,838
62,2022-02-23 16:13:00,21,73,839
63,2022-02-23 16:14:00,21,73,839
64,2022-02-23 16:15:00,21,73,842
65,2022-02-23 16:16:00,21,75,842
66,2022-02-23 16:17:00,21,75,843
67,2022-02-23 16:18:00,21,75,844
68,2022-02-23 16:19:00,21,76,844
69,2022-02-23 16:20:00,21,76,845
70,2022-02-23 16:21:00,22,76,849
71,2022-02-23 16:22:00,22,76,849
72,2022-02-23 16:23:00,22,76,849
73,2022-02-23 16:24:00,22,76,851
74,2022-02-23 16:25:00,22,76,852
75,2022-02-23 16:26:00,22,76,853
76,2022-02-23 16:27:00,22,76,855
77,2022-02-23 16:28:00,22,77,855
78,2022-02-23 16:29:00,23,77,856
79,2022-02-23 16:30:00,23,77,856
80,2022-02-23 16:31:00,23,78,856
81,2022-02-23 16:32:00,23,78,858
82,2022-02-23 16:33:00,23,78,859
83,2022-02-23 16:34:00,23,79,862
84,2022-02-23 16:35:00,23,79,863
85,2022-02-23 16:36:00,23,79,863
